name,type,location,website,source
"Atlant Capital","Family Office","Luxembourg, Luxembourg","atlant-capital.com","folk-european-family-offices-founders"
"H. Bruderer Vermögensverwaltung","Family Office","Zurich, Switzerland","hbvag.ch","folk-european-family-offices-founders"
"Armada Investment Group","Family Office","Kusnacht, Switzerland","armada.com","folk-european-family-offices-founders"
"Landert Family Office","Family Office","Zurich, Switzerland","landert.ch","folk-european-family-offices-founders"
"Flossbach von Storch","Family Office","Köln, Germany","flossbachvonstorch.de","folk-european-family-offices-founders"
"Alfvén & Didrikson","Family Office","Stockholm, Sweden","didriksonpartners.com","folk-european-family-offices-founders"
"Forum Family Office","Family Office","Munich, Germany","forumgruppe.de","folk-european-family-offices-founders"
"Firestartr","Family Office","London, United Kingdom","firestartr.co","folk-european-family-offices-founders"
"Andosins Capital","Family Office","Andorra, Andorra","andosinscapital.com","folk-european-family-offices-founders"
"Kalbert Family Office","Family Office","Munich, Germany","kalbertfamilyoffice.com","folk-european-family-offices-founders"
"Consensus Business Group","Family Office","London, United Kingdom","cbg.uk.com","folk-european-family-offices-founders"
"Aurec Capital Group","Family Office","Berlin, Germany","aurecre.de","folk-european-family-offices-founders"
"Genthod Global Wealth Management","Family Office","Geneva, Switzerland","ggwm.ch","folk-european-family-offices-founders"
"Stanhope Capital","Family Office","London, United Kingdom","stanhopecapital.com","folk-european-family-offices-founders"
"ATAG Private & Corporate Services","Family Office","Basel, Switzerland","atag-pcs.ch","folk-european-family-offices-founders"
"RubyLight","Family Office","Riga, Latvia","rubylight.com","folk-european-family-offices-founders"
"KIRKBI A/S","Family Office","Billund, Denmark","kirkbi.com","folk-european-family-offices-founders"
"Souter Investments","Family Office","Edinburgh, Scotland","souterinvestments.com","folk-european-family-offices-founders"
"Baumgartner Family Office","Family Office","Zurich, Switzerland","bfoag.ch","folk-european-family-offices-founders"
"Selfinvest Family Office","Family Office","Middelfart, Denmark","","folk-european-family-offices-founders"
"Stockdale Street","Family Office","London, United Kingdom","","folk-european-family-offices-founders"
"Motu Ventures","Family Office","Berlin, Germany","motuventures.com","folk-european-family-offices-founders"
"JamJar Investments","Family Office","London, United Kingdom","jamjarinvestments.com","folk-european-family-offices-founders"
"WestTech Ventures","Family Office","Berlin, Germany","westtechventures.de","folk-european-family-offices-founders"
"Quilvest Switzerland","Family Office","Paris, France","quilvest.com","folk-european-family-offices-founders"
"Deutsche Oppenheim Family Office","Family Office","Munich, Germany","deutsche-oppenheim.de","folk-european-family-offices-founders"
"Hassium Asset Management","Family Office","London, United Kingdom","hassium.co.uk","folk-european-family-offices-founders"
"Potential VC","Family Office","London, United Kingdom","potential.vc","folk-european-family-offices-founders"
"Caledonia Investments","Family Office","London, United Kingdom","caledonia.com","folk-european-family-offices-founders"
"Gowen Family Office","Family Office","Geneva, Switzerland","","folk-european-family-offices-founders"
"Entrepreneurs Fund","Family Office","London, United Kingdom","entrepreneursfund.com","folk-european-family-offices-founders"
"Exor","Family Office","Amsterdam, Netherlands","exor.com","folk-european-family-offices-founders"
"Seyer & Partner","Family Office","Vienna, Austria","seyer-partner.com","folk-european-family-offices-founders"
"Unigestion","Family Office","Geneva, Switzerland","unigestion.com","folk-european-family-offices-founders"
"Harald Quandt Holding","Family Office","Bad Homburg vor der Höhe, Germany","haraldquandt.de","folk-european-family-offices-founders"
"THI Investments","Family Office","Stuttgart, Germany","thi-investments.com","folk-european-family-offices-founders"
"Smedvig Capital","Family Office","London, United Kingdom","smedvigcapital.com","folk-european-family-offices-founders"
"Jacobs Holding","Family Office","Zurich, Switzerland","jacobsag.ch","folk-european-family-offices-founders"
"Hamburg Family Office (HFO)","Family Office","Hamburg, Germany","hamburg-family-office.com","folk-european-family-offices-founders"
"Moor","Family Office","Stockholm, Sweden","moorcap.com","folk-european-family-offices-founders"
"Univest","Family Office","Basel, Switzerland","univest.ch","folk-european-family-offices-founders"
"Cottonfield Family Office","Family Office","Zurich, Switzerland","cottonfield.ch","folk-european-family-offices-founders"
"faktum-b","Family Office","Frankfurt, Germany","faktum-b.de","folk-european-family-offices-founders"
"1782 group","Family Office","Geneva, Switzerland","1782group.com","folk-european-family-offices-founders"
"Charlotte Street Capital","Family Office","London, United Kingdom","charlottestreetcapital.com","folk-european-family-offices-founders"
"Backershage B.V.","Family Office","Bussum, Netherlands","backershage.com","folk-european-family-offices-founders"
"tB Capital","Family Office","Varsseveld, Netherlands","tbcapital.nl","folk-european-family-offices-founders"
"GHP Arbitrium","Family Office","Zurich, Switzerland","ghp-arbitrium.ch","folk-european-family-offices-founders"
"Ramiz Haddad Family Office","Family Office","Hamburg, Germany","","folk-european-family-offices-founders"
"Berlin Ventures","Family Office","Berlin, Germany","berlinventures.com","folk-european-family-offices-founders"
"Rianta Capital","Family Office","Zurich, Switzerland","","folk-european-family-offices-founders"
"Kehrli & Zehnder Global Wealth Management","Family Office","Zurich, Switzerland","kehrlizehnder.com","folk-european-family-offices-founders"
"Praxis","Family Office","Antwerp, Belgium","praxisnv.be","folk-european-family-offices-founders"
"ACE & Company","Family Office","London, United Kingdom","aceandcompany.com","folk-european-family-offices-founders"
"Hartwall Capital","Family Office","Helsinki, Finland","hartwallcapital.fi","folk-european-family-offices-founders"
"Spudy & Co. Family Office","Family Office","Hamburg, Germany","spudy.com","folk-european-family-offices-founders"
"U-Start","Family Office","Lugano, Switzerland","u-start.biz","folk-european-family-offices-founders"
"Alta Advisers Limited","Family Office","London, United Kingdom","","folk-european-family-offices-founders"
"Fortiori Family Office","Family Office","Zug, Switzerland","fortiori.ch","folk-european-family-offices-founders"
"Ferguson Partners Family Office","Family Office","London, United Kingdom","ferguson.ch","folk-european-family-offices-founders"
