Name,Entity Type,Role/Authority,Managed AUM,Check Min (USD),Check Max (USD),Check Size,LinkedIn
Jason Butcher,Single Family Office,Lead Allocator / Principal,Undisclosed,25000,25000,$25K,https://www.linkedin.com/in/jasonbutcher
Jat Kara,Single Family Office,Lead Allocator / Principal,$50M-$200M,1000000,20000000,$1M – $20M,https://www.linkedin.com/in/jat-kara-21b5041
Jaye Miller,Private Fund of Funds,Managing Partner / GP,Undisclosed,,,,https://www.linkedin.com/in/jayemillerofficial
Jayren Teo,Single Family Office,Lead Allocator / Principal,Undisclosed,1000000,50000000,$1M – $50M,https://www.linkedin.com/in/teojianrong
Jerome Beard,Private Capital,Principal,Undisclosed,25000,250000,$25K – $250K,https://www.linkedin.com/in/jerome-beard-a581272
Jesse Rodgers,Private Fund of Funds,Managing Partner / GP,$50M-$200M,100000,1000000,$100K – $1M,https://www.linkedin.com/in/jesserodgersbfi
John Yankanich,Private Capital,Principal,Undisclosed,25000,500000,$25K – $500K,https://www.linkedin.com/in/johnyankanich
Jordan Fox,Single Family Office,Lead Allocator / Principal,Undisclosed,25000,2500000,$25K – $2.5M,N/a
Jose Martinez,Single Family Office,Lead Allocator / Principal,$50M-$200M,100000,50000000,$100K – $50M,https://www.linkedin.com/in/josecmartinez
Joyce Liao,Private Fund of Funds,Managing Partner / GP,Undisclosed,100000,500000,$100K – $500K,https://www.linkedin.com/in/joyceliao0620
Judyanna Yu,Private Capital,Principal,Undisclosed,50000,150000,$50K – $150K,https://www.linkedin.com/in/judyanna
Julia Biberdorf,Single Family Office,Lead Allocator / Principal,$50M-$200M,20000000,,$20M+,https://www.linkedin.com/in/julia-biberdorf
Justin Briggs,Single Family Office,Lead Allocator / Principal,$50M-$200M,10000000,30000000,$10M – $30M,https://www.linkedin.com/in/briggsly
Karl Pichler,Single Family Office,Lead Allocator / Principal,Undisclosed,200000,2000000,$200K – $2M,https://www.linkedin.com/in/karl-pichler
Karol Koć,Single Family Office,Lead Allocator / Principal,$50M-$200M,100000,,$100K+,https://www.linkedin.com/in/karolkamilkoc
Karsten Obert,Private Capital,Principal,Undisclosed,,,,karsten.obert
Katheryn Idrovo,Single Family Office,Lead Allocator / Principal,$50M-$200M,20000000,100000000,$20M – $100M,https://www.linkedin.com/in/katheryn-idrovo-cfa-888946109
Kevin M Brophy,Private Capital,Principal,Undisclosed,10000,100000,$10K – $100K,https://www.linkedin.com/in/brophyk
Lang Cui,Single Family Office,Lead Allocator / Principal,$1B+,,,,https://www.linkedin.com/in/langcui
Larry Liu,Private Capital,Principal,Undisclosed,10000,100000,$10K – $100K,https://www.linkedin.com/in/larryliulcs
Lee Fan,Surge Capital,Lead Allocator / Principal,$200M-$1B,,,,https://www.linkedin.com/in/leefan
Lior Elkan,Private Capital,Principal,Undisclosed,,,,https://www.linkedin.com/in/liorelkan
Lorcan Bannon,Corporate Venture/Treasury,Head of Strategic Investing,$50M-$200M,1080000,4320000,$1.1M – $4.3M,https://www.linkedin.com/in/lorcanbannon
Lou V Carpino,Single Family Office,Lead Allocator / Principal,$50M-$200M,10000,500000,$10K – $500K,https://www.linkedin.com/in/loucarpino
